race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Fifteen Hundred RBismarck Tullio,,,,
1,2,Don't Go Astray,Synth-Fast,5 f,0:56.77,9
1,3,Candy Road,Synth-Fast,5 f,0:56.57,7
1,4,I'm Sam,Synth-Fast,5 f,0:56.77,4
1,5,AwegodAwesome Slew,,,,
1,6,Illustration,Dirt-Good,6 1/2F,1:17.68,8
1,7,Ristre,Dirt-Fast,6 f,1:11.18,7
1,8,LovethisbizzBismarck Tullio,,,,
1,9,Golden Ambition,Dirt-Good,6 1/2F,1:17.68,3
2,1,Seeking a Prayer,Synth-Fast,5 1/2F,1:03.64,1
2,2,Prayed for Girl,Synth-Fast,1M 70Y,1:41.30,6
2,3,Smart Style,Synth-Fast,1 1/16M,1:45.31,1
2,4,Beentee,Turf-Firm,1 m,1:34.97,3
2,5,Zo Zucchera,Turf-Firm,1 m,1:34.86,1
2,6,Vino Limone,Synth-Fast,1M 70Y,1:41.30,3
2,7,Gulfstream Mary D,Synth-Fast,1M 70Y,1:41.30,7
2,8,Latte Lizzie,Synth-Fast,1 1/16M,1:41.47,9
2,9,Princess Irene,Turf-Firm,1 m,1:37.36,1
2,10,Smooth Claret,Synth-Fast,1M 70Y,1:41.30,2
3,1,Girl in Blue,Synth-Fast,5 1/2F,1:03.17,5
3,2,Derby Hangover,Synth-Fast,5 f,0:57.24,3
3,3,Tiz for MattNyquist,,,,
3,4,Maranta,Synth-Fast,5 1/2F,1:04.33,2
3,5,Money Battle,Synth-Fast,5 f,0:57.24,2
3,6,Top Pocket Pick,Synth-Fast,5 f,0:57.24,4
3,7,Starship Maximus,Synth-Fast,5 1/2F,1:04.10,5
4,1,My Lady James,Synth-Fast,5 f,0:56.29,6
4,2,Dove in Charge,Synth-Fast,5 1/2F,1:04.13,1
4,3,Efficacious,Synth-Fast,5 f,0:56.47,6
4,4,Foxy Lady,Dirt-Good,7 f,1:24.13,4
4,5,Chloe's Toy,Synth-Fast,5 f,0:56.93,2
4,6,Cajun Fantasy,Synth-Fast,5 f,0:56.93,3
4,7,Current Situation,Synth-Fast,1M 70Y,1:41.28,4
4,8,Misprint,Synth-Fast,5 f,0:56.93,1
4,9,Fulminate,Synth-Fast,5 f,0:56.93,6
4,10,No Action,Synth-Fast,5 f,0:56.93,4
5,1,Bakers Street,Turf-Firm,1 3/16 m,1:52.72,8
5,2,Maruvy,Synth-Fast,1M 70Y,1:39.87,1
5,3,Classic of Course,Turf-Firm,1 1/16M,1:39.93,5
5,4,Win With Faith,Turf-Firm,1 m,1:32.78,7
5,5,Sigan Viendo,Synth-Fast,1M 70Y,1:40.29,1
5,6,I Know I Know,Synth-Fast,1M 70Y,1:39.46,6
5,7,Piquant,Synth-Fast,1M 70Y,1:40.97,1
6,1,Grand Jefe,Dirt-Muddy,6 f,1:10.85,6
6,2,Bullet Blues,Dirt-Fast,6 f,1:11.42,1
6,3,Saybrook,Dirt-Fast,1 m,1:37.31,6
6,4,Garrincha,Dirt-Muddy,1 m,1:37.80,1
6,5,Sweet Cha Cha,Dirt-Muddy,6 f,1:10.85,1
6,6,Mustang Bay,Dirt-Fast,7 f,1:24.30,4
6,7,Sixteen Cigarettes,Dirt-Muddy,6 f,1:10.85,3
6,8,Imapeppa,Dirt-Muddy,6 f,1:10.85,2
6,9,Thingsrgettinharry,Dirt-Fast,7 f,1:24.30,8
7,1,BlackmailNot This Time,,,,
7,2,Chingu,Synth-Fast,5 f,0:56.18,4
7,3,Uncle Aldo,Synth-Fast,5 f,0:57.80,2
7,4,Coach Kain,Turf-Firm,1 m,1:34.94,4
7,5,Raasil,Turf-Firm,1 m,1:34.94,3
7,6,Antonino,Dirt-,7 f,1:25.60,5
7,7,Principote,Turf-Firm,5 1/2F,1:03.24,9
7,8,Knoty Knicks,Synth-Fast,5 f,0:57.80,4
7,9,BrentwoodEssential Quality,,,,
7,10,RawayanaCaracaro,,,,
7,11,Win Winnie WinUpstart,,,,
7,12,Hard StormHard Spun,,,,
8,1,Speed Control,Dirt-Fast,1 m,1:37.31,4
8,2,Blast Radius,Dirt-Fast,7 f,1:22.66,1
8,3,Raging Fury,Dirt-Fast,7 f,1:22.66,6
8,4,Lucky Old Son,Dirt-Fast,6 f,1:09.32,2
8,5,Mr. Peeks,Dirt-Fast,6 f,1:09.32,5
8,6,Neshume,Dirt-Fast,6 f,1:09.32,3
8,7,El Guty,Dirt-,7 f,1:23.50,1
9,1,Vindicate Cha Cha,Turf-Firm,5 f,0:55.10,6
9,2,The Dove Rules,Turf-Firm,5 f,0:55.66,4
9,3,Le Amazonia,Turf-Firm,5 f,0:54.83,5
9,4,Love Actually,Turf-Firm,5 f,0:55.66,6
9,5,Super Freaky Girl,Turf-Firm,5 f,0:55.66,1
9,6,Breezey Z,Synth-Fast,5 f,0:57.40,1
9,7,Granka,Turf-Firm,5 1/2F,1:01.83,9
9,8,Royally Blue,Turf-Firm,5 f,0:55.10,1
9,9,One of One,Synth-Fast,5 1/2F,1:02.93,4
9,10,Check the Grade,Synth-Fast,5 f,0:57.36,6
9,11,Laila Bella Girl,Turf-Firm,5 1/2F,1:01.49,5
10,1,Lil Bit Sideways,Turf-Firm,1 m,1:37.12,11
10,2,Alabama SleeperBucchero,,,,
10,3,The Great EmpireClassic Empire,,,,
10,4,Adios Mate,Synth-Fast,5 1/2F,1:05.76,2
10,5,San Quintin,Dirt-Good,6 f,1:11.12,3
10,6,Amaury M. V. P.,Synth-Fast,1M 70Y,1:42.66,4
10,7,Gourmet Dinner,Turf-Firm,1 m,1:37.62,10
10,8,Hooray for Me,Dirt-Fast,6 f,1:12.80,6
10,9,G Speedy,Synth-Fast,5 f,0:57.16,4
